Judul Berita,Link Berita,Link Gambar
Kebakaran di Spanyol Hanguskan 4 Ribu Hektar Hutan,https://www.cnnindonesia.com/internasional/20230326000117-134-929346/kebakaran-di-spanyol-hanguskan-4-ribu-hektar-hutan,https://akcdn.detik.net.id/visual/2023/02/05/chile-dilanda-kebakaran-hutan-4_169.jpeg?w=280&q=90
"VIDEO: Gudang Logistik Sembako Terbakar, Stok Beras Aman",https://www.cnnindonesia.com/tv/20230323081930-400-928451/video-gudang-logistik-sembako-terbakar-stok-beras-aman,https://akcdn.detik.net.id/visual/2023/03/23/gudang-logistik-sembako-terbakar-stok-beras-aman_169.jpeg?w=280&q=90
"Kebakaran di Kampung Bugis Papua, Sejumlah Rumah Hangus",https://www.cnnindonesia.com/nasional/20230323043906-20-928415/kebakaran-di-kampung-bugis-papua-sejumlah-rumah-hangus,https://akcdn.detik.net.id/visual/2021/07/19/ilustrasi-kebakaran_169.jpeg?w=280&q=90
Gudang Terbakar di Pasar Induk Cipinang Berisi Kardus dan Karung,https://www.cnnindonesia.com/nasional/20230321152810-20-927874/gudang-terbakar-di-pasar-induk-cipinang-berisi-kardus-dan-karung,https://akcdn.detik.net.id/visual/2021/07/19/ilustrasi-kebakaran-3_169.jpeg?w=280&q=90
Gudang Beras Pasar Induk Cipinang Dilanda Kebakaran Hebat,https://www.cnnindonesia.com/nasional/20230321143438-20-927849/gudang-beras-pasar-induk-cipinang-dilanda-kebakaran-hebat,https://akcdn.detik.net.id/visual/2015/01/07/27e55028-8e71-46c4-9f4e-7a8156befef5_169.jpg?w=280&q=90
"Gedung DPRD Dogiyai Papua Kebakaran, Penyebab Masih Ditelusuri",https://www.cnnindonesia.com/nasional/20230318160628-20-926746/gedung-dprd-dogiyai-papua-kebakaran-penyebab-masih-ditelusuri,https://akcdn.detik.net.id/visual/2020/01/01/c3431b93-eae6-4ab9-aa91-1b5280978d08_169.jpeg?w=280&q=90
"Kebakaran di Kebayoran Lama, Nenek Ditemukan Tewas Telungkup di Toilet",https://www.cnnindonesia.com/nasional/20230314122426-20-924795/kebakaran-di-kebayoran-lama-nenek-ditemukan-tewas-telungkup-di-toilet,https://akcdn.detik.net.id/visual/2021/07/19/ilustrasi-kebakaran-2_169.jpeg?w=280&q=90
VIDEO: Kebakaran Rumah di Gang Sempit,https://www.cnnindonesia.com/tv/20230313182538-407-924546/video-kebakaran-rumah-di-gang-sempit,https://akcdn.detik.net.id/visual/2023/03/13/kebakaran-rumah-di-gang-sempit_169.jpeg?w=280&q=90
VIDEO: Kebakaran Puluhan Rumah di Setiabudi,https://www.cnnindonesia.com/tv/20230313105455-400-924246/video-kebakaran-puluhan-rumah-di-setiabudi,https://akcdn.detik.net.id/visual/2023/03/13/kebakaran-puluhan-rumah-di-setiabudi_169.png?w=280&q=90
"Beri Bantuan Warga Plumpang Dahulu, 'Ngonten' di Medsos Kemudian",https://www.cnnindonesia.com/nasional/20230311215018-20-923853/beri-bantuan-warga-plumpang-dahulu-ngonten-di-medsos-kemudian,https://akcdn.detik.net.id/visual/2023/03/04/kondisi-terkini-pasca-kebakaran-depo-pertamina-plumpang-11_169.jpeg?w=280&q=90
